\U0001F55A	\uE02E
\U0001F55B	\uE02F
\U0001F5FB	\uE03B
\U0001F5FC	\uE509
\U0001F5FD	\uE51D
\U0001F601	\uE404
\U0001F602	\uE412
\U0001F603	\uE057
\U0001F604	\uE415
\U0001F609	\uE405
\U0001F60A	\uE056
\U0001F60C	\uE40A
\U0001F60D	\uE106
\U0001F60F	\uE402
\U0001F612	\uE40E
\U0001F613	\uE108
\U0001F614	\uE403
\U0001F616	\uE407
\U0001F618	\uE418
\U0001F61A	\uE417
\U0001F61C	\uE105
\U0001F61D	\uE409
\U0001F61E	\uE058
\U0001F620	\uE059
\U0001F621	\uE416
\U0001F622	\uE413
\U0001F623	\uE406
\U0001F625	\uE401
\U0001F628	\uE40B
\U0001F62A	\uE408
\U0001F62D	\uE411
\U0001F630	\uE40F
\U0001F631	\uE107
\U0001F632	\uE410
\U0001F633	\uE40D
\U0001F637	\uE40C
\U0001F645	\uE423
\U0001F646	\uE424
\U0001F647	\uE426
\U0001F64C	\uE427
\U0001F64F	\uE41D
\U0001F680	\uE10D
\U0001F683	\uE01E
\U0001F684	\uE435
\U0001F685	\uE01F
\U0001F687	\uE434
\U0001F689	\uE039
\U0001F68C	\uE159
\U0001F68F	\uE150
\U0001F691	\uE431
\U0001F692	\uE430
\U0001F693	\uE432
\U0001F695	\uE15A
\U0001F697	\uE01B
\U0001F699	\uE42E
\U0001F69A	\uE42F
\U0001F6A2	\uE202
\U0001F6A4	\uE135
\U0001F6A5	\uE14E
\U0001F6A7	\uE137
\U0001F6AC	\uE30E
\U0001F6AD	\uE208
\U0001F6B2	\uE136
\U0001F6B6	\uE201
\U0001F6B9	\uE138
\U0001F6BA	\uE139
\U0001F6BB	\uE151
\U0001F6BC	\uE13A
\U0001F6BD	\uE140
\U0001F6BE	\uE309
\U0001F6C0	\uE13F
\U000000A9	\uE24E
\U000000AE	\uE24F
\U00002122	\uE537
\uE50A	\uE50A


